metric_category,scope,explanation_type,explainer,metric,n_features,value,time
stability,local,feature_importance,LimeExplainer,ChangeSeedMetric,10000,0.997825462820211,1.0450730323791504
consistency,local,feature_importance,LimeExplainer,SensitivityMetric,10000,0.9993036612294399,1.0034077167510986
completeness,local,feature_importance,LimeExplainer,FaithfulnessCorrelationMetric,10000,0.9216342735669663,4.577087640762329
parsimony,local,feature_importance,LimeExplainer,ComplexityMetric,10000,0.095540242823285,0.5049283504486084
soundness,any,feature_importance,RandomFeatureImportanceExplainer,FidelityMetric,10000,0.503800775991765,1.3248162269592285
stability,any,feature_importance,RandomFeatureImportanceExplainer,ChangeSeedMetric,10000,0.28851624640040185,0.0009913444519042969
consistency,any,feature_importance,RandomFeatureImportanceExplainer,SensitivityMetric,10000,0.6733269836387854,53.54171013832092
completeness,any,feature_importance,RandomFeatureImportanceExplainer,FaithfulnessCorrelationMetric,10000,,0.01636791229248047
parsimony,any,feature_importance,RandomFeatureImportanceExplainer,ComplexityMetric,10000,0.022409540589750643,0.0009915828704833984
soundness,any,rule_based,RandomRuleExplainer,FidelityMetric,10000,0.503800775991765,0.08878421783447266
parsimony,any,rule_based,RandomRuleExplainer,NumberRulesMetric,10000,100.0,0.0
stability,any,rule_based,RandomRuleExplainer,ChangeSeedMetric,10000,0.0,0.00049591064453125
contextfulness,any,rule_based,RandomRuleExplainer,RuleCoverageMetric,10000,0.99148,0.45334386825561523
contextfulness,any,rule_based,RandomRuleExplainer,RuleOverlapMetric,10000,0.068672,21.535327672958374
consistency,any,rule_based,RandomRuleExplainer,SensitivityMetric,10000,0.0,51.81265568733215
soundness,global,rule_based,SurrogateDecisionTreeExplainer,FidelityMetric,10000,0.76142647352104,1.7196307182312012
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,NumberRulesMetric,10000,20.0,1.4989123344421387
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,AvgRuleLengthMetric,10000,8.333333333333334,1.5048637390136719
stability,global,rule_based,SurrogateDecisionTreeExplainer,ChangeSeedMetric,10000,1.0,1.475600242614746
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleCoverageMetric,10000,0.48204,3.216064453125
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleOverlapMetric,10000,0.0,27.585038423538208
consistency,global,rule_based,SurrogateDecisionTreeExplainer,SensitivityMetric,10000,1.0,57.48937463760376
soundness,global,feature_importance,SurrogateLogisticRegressionExplainer,FidelityMetric,10000,0.9926869172695196,1.4458396434783936
stability,global,feature_importance,SurrogateLogisticRegressionExplainer,ChangeSeedMetric,10000,1.0,1.3719358444213867
consistency,global,feature_importance,SurrogateLogisticRegressionExplainer,SensitivityMetric,10000,1.0,61.921630859375
parsimony,global,feature_importance,SurrogateLogisticRegressionExplainer,ComplexityMetric,10000,0.003937001745667024,1.3461439609527588
soundness,global,feature_importance,SurrogateMultinomialNBExplainer,FidelityMetric,10000,0.8712590402365445,0.06001710891723633
stability,global,feature_importance,SurrogateMultinomialNBExplainer,ChangeSeedMetric,10000,1.0,0.018352508544921875
consistency,global,feature_importance,SurrogateMultinomialNBExplainer,SensitivityMetric,10000,1.0,56.043039083480835
parsimony,global,feature_importance,SurrogateMultinomialNBExplainer,ComplexityMetric,10000,6.42209658241466e-06,0.018352508544921875
